Wavelength,ATTO465 EM,ATTO465 EX,ATTO488 EM,ATTO488 EX,ATTO520 EM,ATTO520 EX,ATTO532 EM,ATTO532 EX,ATTO550 EM,ATTO550 EX,ATTO565 EM,ATTO565 EX,ATTO590 EM,FAM EM,FAM EX,ATTO590 EX,ATTO594 EM,ATTO594 EX,ATTO620 EM,ATTO620 EX,ATTO647N EM,ATTO647N EX,ATTO655 EM,ATTO655 EX,ATTO680 EM,ATTO680 EX,Cy3 EM,Cy3 EX,Cy5 EM,Cy5 EX,Cy5_5 EM,Cy5_5 EX,HEX EM,HEX EX,JOE EM,JOE EX,ROX EM,ROX EX,TAMRA EM,TAMRA EX,TexasRed EM,TexasRed EX,Rhodamine6G EM,Rhodamine6G EX
334,,0.010402597,,0.070658009,,0.069995672,,0.060359307,,0.02443723,,0.037415584,,,0.0801569,0.063060606,,0.038138528,,0.021506493,,0.049683983,,0.014926407,,0.029506493,,,,,,,,0.0471997,,0.0584,,0.067,,,,,,
335,,0.010510822,,0.071445886,,0.07396104,,0.0564329,,0.025848485,,0.036787878,,,0.0732904,0.064138529,,0.039372294,,0.020190476,,0.0441342,,0.013987013,,0.030281385,,,,,,,,0.047911499,,0.0589,,0.065,,,,,,
336,,0.010705628,,0.07177922,,0.078779222,,0.052948052,,0.027536797,,0.0362987,,,0.068806097,0.065372296,,0.040627706,,0.019108225,,0.039255412,,0.013298701,,0.031138528,,,,,,,,0.049265198,,0.0598,,0.0623,,,,,,
337,,0.011160173,,0.07199567,,0.084108226,,0.049943722,,0.029264069,,0.03612554,,,0.063901298,0.066718616,,0.041861472,,0.018017316,,0.034961039,,0.013017316,,0.031969698,,,,,,,,0.050716698,,0.0612,,0.0601,,,,,,
338,,0.012138528,,0.071809522,,0.089792209,,0.047376624,,0.030839827,,0.036177488,,,0.057314999,0.067800867,,0.043030304,,0.017160173,,0.031428571,,0.012878788,,0.032909092,,,,,,,,0.052265801,,0.0622,,0.0589,,,,,,
339,,0.013,,0.071307358,,0.095190477,,0.045134199,,0.031982685,,0.036805194,,,0.053251099,0.068861472,,0.044090909,,0.016735931,,0.028480519,,0.012909091,,0.034000001,,,,,,,,0.053354401,,0.0626,,0.0571,,,,,,
340,,0.013770563,,0.070376624,,0.099731602,,0.043744589,,0.032982685,,0.037896104,,,0.049327299,0.069857143,,0.045090909,,0.016190477,,0.026008658,,0.013,,0.034909091,,,,,,,,0.054289401,,0.0633,,0.0559,,,,,,
341,,0.014718615,,0.069415586,,0.102757576,,0.042943723,,0.033748919,,0.039389611,,,0.043722,0.070653679,,0.046030303,,0.015878789,,0.023974026,,0.013090909,,0.035969696,,,,,,,,0.054931398,,0.0647,,0.0553,,,,,,
342,,0.015402598,,0.068380954,,0.103848485,,0.042670996,,0.034324677,,0.04104762,,,0.0403587,0.071735929,,0.046952381,,0.015735932,,0.022268398,,0.013030303,,0.037138528,,,,,,,,0.0548058,,0.0665,,0.0558,,,,,,
343,,0.016000001,,0.067073595,,0.102861471,,0.042645022,,0.034705628,,0.042740261,,,0.037275799,0.072878787,,0.047658008,,0.01574459,,0.020896104,,0.012861472,,0.038372293,,,,,,,,0.0538847,,0.0693,,0.0555,,,,,,
