Wavelength,ATTO465 EM,ATTO465 EX,Cy3 EM,Cy3 EX,Cy5 EM,Cy5 EX,Cy5.5 EM,Cy5.5 EX,HEX EM,HEX EX,JOE EM,JOE EX,ROX EM,ROX EX,TAMRA EM,TAMRA EX,TexasRed EM,TexasRed EX,Rhodamine6G EM,Rhodamine6G EX
397,,0.192818183,,,,,,,,0.017808,,0.0167,,0.0418,,,,,,
398,,0.20027706,,,,,,,,0.0182686,,0.0169,,0.0412,,,,,,
399,,0.207787881,,,,,,,,0.018575599,,0.0169,,0.0415,,,,,,
400,,0.215528139,,0.0019,,,,,,0.018966399,,0.0169,,0.0415,,,0,0.022,,0.0298
401,,0.223497834,,0.002,,,,,,0.0191758,,0.0169,,0.0412,,,0,0.0064,,0.0294
402,,0.2318961,,0.0019,,,,,,0.019566501,,0.0169,,0.0411,,,0,0.0057,,0.029
403,,0.240787876,,0.0019,,,,,,0.0201666,,0.0174,,0.0412,,,0,0.0064,,0.029
404,,0.249909091,,0.0022,,,,,,0.020278299,,0.0174,,0.0413,,,0,0.0051,,0.0288
405,,0.258909095,,0.0021,,,,,,0.020501601,,0.0172,,0.0418,,,0,0.0063,,0.0287
406,,0.267787885,,0.0025,,,,,,0.021031899,,0.0174,,0.0423,,,0,0.0043,,0.0283
407,,0.276896113,,0.0021,,,,,,0.021157499,,0.0174,,0.0426,,,0,0.0055,,0.028
408,,0.286406934,,0.002,,,,,,0.0216181,,0.0174,,0.0427,,,0,0.0049,,0.0276
409,,0.296316024,,0.0024,,,,,,0.021883201,,0.0178,,0.0435,,,0,0.0036,,0.027
410,,0.306683984,,0.0024,,,,,,0.0220368,,0.0181,,0.0438,,,0,0.0036,,0.0267
411,,0.317593071,,0.003,,,,,,0.0221205,,0.0181,,0.0443,,,0,0.0018,,0.0262
412,,0.329194801,,0.0024,,,,,,0.0223577,,0.0185,,0.0446,,,0,0.0018,,0.026
413,,0.341242421,,0.0027,,,,,,0.022427499,,0.0188,,0.0454,,,0,0.0035,,0.0255
414,,0.354043286,,0.0027,,,,,,0.022595,,0.019,,0.0456,,,0,0.0018,,0.0251
415,,0.367748918,,0.0031,,,,,,0.0227904,,0.0193,,0.0463,,,0,0.0012,,0.0247
416,,0.382445885,,0.0031,,,,,,0.0227206,,0.0197,,0.0463,,,0,0.0006,,0.0245
417,,0.397870131,,0.0031,,,,,,0.0227904,,0.02,,0.0468,,,0,0.0005,,0.0243
418,,0.413935063,,0.0033,,,,,,0.0227485,,0.0204,,0.0471,,,0,0.0011,,0.0241
419,,0.430640691,,0.0035,,,,,,0.0228462,,0.0209,,0.0473,,,0,0.0022,,0.0238
420,,0.448164504,,0.0037,,,,,,0.022692701,,0.0211,,0.0472,,,0,0.0033,,0.0237
421,,0.466242423,,0.0037,,,,,,0.022860199,,0.0211,,0.0472,,,0,0.0028,,0.0234
422,,0.485164503,,0.004,,,,,,0.023027699,,0.0215,,0.0477,,,0,0.0028,,0.0232
423,,0.504822506,,0.0044,,,,,,0.0230974,,0.0218,,0.0475,,,0,0.0028,,0.0235
424,,0.525177476,,0.0045,,,,,,0.023069501,,0.0222,,0.047,,,0,0.0039,,0.0238
425,,0.546017307,,0.0051,,,,,,0.0230137,,0.0227,,0.0471,,,0,0.0039,,0.0236
426,,0.566999995,,0.005,,,,,,0.0233486,,0.0229,,0.047,,,0,0.0039,,0.0239
427,,0.587891772,,0.0053,,,,,,0.023488199,,0.0234,,0.0465,,,0,0.0044,,0.0239
428,,0.608701304,,0.0057,,,,,,0.023488199,,0.0239,,0.0461,,,0,0.0044,,0.0243
429,,0.629103906,,0.0058,,,,,,0.023488199,,0.0244,,0.0464,,,0,0.0038,,0.0252
430,,0.649194823,,0.0058,,,,,,0.023920801,,0.0251,,0.0461,,,0,0.0044,,0.0252
431,,0.668822532,,0.006,,,,,,0.0241441,,0.0257,,0.0456,,,0,0.006,,0.0258
432,,0.688056293,,0.006,,,,,,0.024004599,,0.0266,,0.0454,,,0,0.0054,,0.0265
433,,0.706852825,,0.0073,,,,,,0.0244093,,0.0274,,0.0446,,,0,0.0048,,0.0275
434,,0.725147196,,0.0079,,,,,,0.024646601,,0.0283,,0.0448,,,0,0.0032,,0.0284
435,,0.742852809,,0.0078,,,,,,0.024842,,0.0295,,0.0447,,,0,0.0047,,0.0296
436,,0.760056271,,0.0088,,,,,,0.025023401,,0.0309,,0.0444,,,0,0.0052,,0.0308
437,,0.776640684,,0.0087,,,,,,0.025232701,,0.0324,,0.0439,,,0,0.0056,,0.0324
438,,0.793043287,,0.0095,,,,,,0.0258328,,0.0338,,0.0442,,,0,0.0035,,0.0337
439,,0.809168834,,0.0097,,,,,,0.0259584,,0.0355,,0.0434,,,0,0.0035,,0.0355
440,0.001115152,0.825432902,,0.0104,,,,,,0.026628301,,0.0375,,0.0435,,,0,0.003,,0.0374
441,0.000912121,0.841584412,,0.0108,,,,,,0.0271866,,0.0394,,0.0436,,,0,0.0041,,0.0397
442,0.0008671,0.858173152,,0.0118,,,,,,0.0276192,,0.042,,0.043,,,0,0.0025,,0.0412
443,0.000980087,0.874844143,,0.0122,,,,,,0.028317001,,0.0441,,0.0428,,,0,0.0025,,0.0435
444,0.001251082,0.89175756,,0.0129,,,,,,0.0290707,,0.0464,,0.0426,,,0,0.0025,,0.0457
445,0.001554113,0.908636346,,0.0136,,,,,,0.029796399,,0.0498,,0.0423,,,0,0.003,,0.0481
446,0.002038961,0.925562764,,0.0149,,,,,,0.031261802,,0.0522,,0.0423,,,0,0.0015,,0.0506
447,0.003034632,0.941826837,,0.015,,,,,,0.032517798,,0.0547,,0.042,,,0,0.001,,0.0535
448,0.004406926,0.957099573,,0.0163,,,,,,0.033941399,,0.0582,,0.0417,,,0,0.0028,,0.0568
449,0.006359307,0.970567103,,0.0175,,,,,,0.035169501,,0.0608,,0.0415,,,0,0.004,,0.0601
450,0.008675325,0.982238092,,0.0183,,,,,,0.036481399,,0.0637,,0.0412,0,0.0166,0,0.0043,,0.0638
451,0.011004329,0.991077927,,0.0186,,,,,,0.038714401,,0.0672,,0.0406,0,0.0174,0,0.0034,,0.0676
452,0.013103896,0.997207787,,0.0207,,,,,,0.040431,,0.07,,0.0404,0,0.018,0,0.0039,,0.0717
453,0.014991342,0.999614712,,0.0218,,,,,,0.0427198,,0.0728,,0.0403,0,0.0183,0,0.0022,,0.076
454,0.016991342,0.99825974,,0.0243,,,,,,0.044645701,,0.0767,,0.0395,0,0.0189,0,0.0036,,0.0804
455,0.019645022,0.992168833,,0.0252,,,,,,0.047116,,0.0798,,0.0392,0,0.0193,0,0.0022,,0.085
456,0.023138529,0.981316027,,0.0261,,,,,,0.049767599,,0.083,,0.039,0,0.02,0,0.0022,,0.0897
457,0.027969698,0.965471874,,0.0274,,,,,,0.0523495,,0.0874,,0.0383,0,0.0212,0,0.0039,,0.095
