Wavelength,ATTO425 EM,ATTO425 EX,ATTO465 EM,ATTO465 EX,FAM EM,FAM EX,ATTO488 EM,ATTO488 EX,JOE EM,JOE EX,HEX EM,HEX EX,Cy3 EM,Cy3 EX,ROX EM,ROX EX,Cy3.5 EM,Cy3.5 EX,CAL560 EM,CAL560 EX,CAL590 EM,CAL590 EX,CAL610 EM,CAL610 EX,Cy5 EM,Cy5 EX,Cy5.5 EM,Cy5.5 EX
382,0.0008671,0.954242421,,0.688056293,,0.019758999,,0.0494329,,0.0155,,0.0125466,,,,0.0634,,,,0.035482701,,0.02,,0.036669299,,,,
383,0.000980087,0.965653689,,0.706852825,,0.019758999,,0.051987012,,0.0156,,0.0130071,,,,0.0608,,,,0.035062,,0.02,,0.034437399,,,,
384,0.001251082,0.9757143,,0.725147196,,0.0201794,,0.054800865,,0.016,,0.0129374,,,,0.0564,,,,0.034846298,,0.02,,0.032368802,,,,
385,0.001645022,0.984298715,,0.742852809,,0.0204596,,0.057584416,,0.0164,,0.0137608,,,,0.0545,,,,0.034654099,,0.02,,0.0303641,,,,
386,0.002251082,0.991017324,,0.760056271,,0.0201794,,0.060714286,,0.0165,,0.0139003,,,,0.0521,,,,0.034508001,,0.02,,0.028395901,,,,
387,0.00295671,0.996060608,,0.776640684,,0.0198991,,0.063813854,,0.0165,,0.0142074,,,,0.05,,,,0.034432601,,0.02,,0.026617199,,,,
388,0.003939394,0.999060612,,0.793043287,,0.019758999,,0.067082253,,0.0167,,0.0144725,,,,0.0485,,,,0.034347702,,0.02,,0.025061199,,,,
389,0.00495671,0.99993507,,0.809168834,,0.0193386,,0.070584418,,0.0167,,0.0150168,,,,0.0471,,,,0.034280501,,0.02,,0.0233978,,,,
390,0.006160173,0.998450219,0.001115152,0.825432902,,0.0193386,,0.074341993,,0.0165,,0.0155192,,,,0.0458,,,,0.034458499,,0.02,,0.0220815,,,,
391,0.007432901,0.994549782,0.000912121,0.841584412,,0.0193386,,0.077956712,,0.0169,,0.015770501,,,,0.0447,,,,0.034554001,,0.02,,0.0209581,,,,
392,0.009147186,0.987883114,0.0008671,0.858173152,,0.0190583,,0.081848487,,0.0169,,0.0160356,,,,0.0439,,,,0.034596398,,0.02,,0.020053999,,,,
393,0.011454545,0.978696966,0.000980087,0.874844143,,0.018918199,,0.0858355,,0.0169,,0.0164124,,,,0.0432,,,,0.034542199,,0.02,,0.019149801,,,,
