Wavelength,FAM EM,FAM EX,Cy3 EM,Cy3 EX,CAL610 EM,CAL610 EX,Cy5.5 EM,Cy5.5 EX
607,0.063422099,,0.1916,0.0014,0.979911029,0.412965,,0.27339995
608,0.0613342,,0.1871,0.0009,0.990051985,0.373448998,,0.28116834
609,0.058463201,,0.1827,0.0004,0.996057987,0.336227,,0.29477054
610,0.056636199,,0.1784,0.0002,0.998467982,0.301703006,,0.29864976
611,0.0552123,,0.1738,0.0001,0.997641981,0.269769013,,0.30641815
612,0.053371798,,0.169,0.0001,0.993852973,0.240483999,,0.32196495
613,0.051268499,,0.164,0.0001,0.987129986,0.213531002,,0.32584414
614,0.049690999,,0.1589,0.0001,0.977208972,0.189164996,,0.33944634
615,0.047935098,,0.1535,0.0001,0.964136004,0.167284995,,0.34332556
616,0.0460812,,0.1482,0.0001,0.948439002,0.147430003,,0.35498315
617,0.045081399,,0.1426,0.0001,0.930593014,0.129767999,,0.36080697
618,0.043214101,,0.1369,0.0001,0.910942018,0.113945,,0.36469615
619,0.040813301,,0.131,0.0001,0.889998972,0.099799402,,0.37440914
620,0.039494898,,0.1251,0,0.868090987,0.087315597,,0.37439916
621,0.038688902,,0.1193,0.0001,0.845242977,0.076440401,,0.37828836
622,0.0368005,,0.1136,0.0001,0.821330011,0.067132697,,0.38216758
623,0.035447501,,0.1079,0,0.796522975,0.058934599,,0.3821576
624,0.034881402,,0.1024,0.0001,0.770958006,0.051613301,,0.38214764
625,0.033518799,,0.0969,0,0.744720995,0.045244101,,0.38214764
626,0.032108299,,0.0915,0,0.718252003,0.039528001,,0.38602686
627,0.030951099,,0.0863,0.0001,0.691901028,0.034554999,,0.38601688
628,0.0298457,,0.0814,0,0.665597022,0.030212199,,0.38601688
629,0.0294964,,0.0767,0,0.639548004,0.0265282,,0.3879515
630,0.0271782,,0.0722,0,0.61421901,0.0230747,,0.3879415
631,0.027364301,,0.0679,0,0.589900017,0.019766301,,0.3879415
632,0.0261303,,0.0637,0,0.566793025,0.016859701,,0.38598695
633,0.024710201,,0.0597,0,0.545105994,0.0143709,,0.38597697
634,0.0237334,,0.056,0,0.52483201,0.0122749,,0.3820878
635,0.0230291,,0.0524,0,0.505459011,0.0105556,,0.3820778
636,0.022603,,0.0491,0,0.486681998,0.00907143,,0.3820778
637,0.022169299,,0.046,0,0.468551993,0.00773572,,0.38789165
638,0.0211407,,0.0431,0,0.451119989,0.00653586,0.010772244,0.38789165
639,0.020392301,,0.0404,0,0.434450001,0.00548213,0.010772244,0.39566007
640,0.019037399,,0.038,0,0.418812007,0.00465559,0.010762251,0.3995393
641,0.0188608,,0.0357,0,0.404213011,0.00403111,0.010752258,0.4034185
642,0.0177765,,0.0336,0,0.390498012,0.00346943,0.012690863,0.41702068
643,0.017697901,,0.0316,0,0.377817988,0.00297053,0.012690863,0.42090988
644,0.0171951,,0.0296,0,0.366364002,0.00258466,0.01268087,0.43839127
645,0.016375599,,0.0279,0,0.356014013,0.00221705,0.012670877,0.4442151
