Wavelength,FAM EM,FAM EX,ROX (carboxy-X-rhodamine) EM,ROX (carboxy-X-rhodamine) EX,Cy3 EM,Cy3 EX,Cy5.5 EM,Cy5.5 EX
691,,,0.1015,,,,0.99999,0.5450049
692,,,0.1002,,,,0.99999,0.47890863
693,,,0.0966,,,,0.99998003,0.4575181
694,,,0.0934,,,,0.99997,0.38753265
695,,,0.0901,,,,0.99413425,0.36030835
696,,,0.0863,,,,0.9863498,0.32142642
697,,,0.0828,,,,0.9649552,0.29809132
698,,,0.081,,,,0.95911944,0.2630886
699,,,0.0773,,,,0.92411464,0.24170806
700,,,0.0754,,,,0.91244304,0.22808592
701,,,0.0743,,,,0.89688426,0.1930932
702,,,0.0694,,,,0.8618894,0.18337023
703,,,0.0661,,,,0.84438205,0.15225673
704,,,0.0658,,,,0.795777,0.14253376
705,,,0.0628,,,,0.7607722,0.12503241
706,,,0.0625,,,,0.7393777,0.11335487
707,,,0.0591,,,,0.72576743,0.10752109
708,,,0.0587,,,,0.68104964,0.09196434
709,,,0.0543,,,,0.66742945,0.08613056
710,,,0.0549,,,,0.64603484,0.072508425
711,,,0.0535,,,,0.5974299,0.06473005
712,,,0.0508,,,,0.5624251,0.060840864
713,,,0.0504,,,,0.5410404,0.05499711
714,,,0.0466,,,,0.5274203,0.05110792
715,,,0.0471,,,,0.49241546,0.04331957
716,,,0.0455,,,,0.47880527,0.041374978
717,,,0.0437,,,,0.44768766,0.03358663
718,,,0.0442,,,,0.43991327,0.03358663
719,,,0.0424,,,,0.40490848,0.02968747
720,,,0.0418,,,,0.39518547,0.027732903
721,,,0.0399,,,,0.37379086,0.027732903
722,,,0.0404,,,,0.36405787,0.023833742
723,,,0.0408,,,,0.3562835,0.023833742
724,,,0.0365,,,,0.3368275,0.02382377
725,,,0.0357,,,,0.32905307,0.023813797
726,,,0.0361,,,,0.3076585,0.01992461
727,,,0.0327,,,,0.2979255,0.016025448
728,,,0.0306,,,,0.2882025,0.016025448
729,,,0.0309,,,,0.2804181,0.016015477
730,,,0.0313,,,,0.2726337,0.016005505
731,,,0.0317,,,,0.2629107,0.012116317
732,,,0.0307,,,,0.2590135,0.012106344
733,,,0.0284,,,,0.24929051,0.012106344
734,,,0.026,,,,0.24150611,0.012096372
735,,,0.0264,,,,0.23566031,0.0120864
736,,,0.0267,,,,0.23177312,0.0120864
737,,,0.027,,,,0.23176312,0.012076428
738,,,0.0273,,,,0.22204013,0.012066455
739,,,0.0276,,,,0.22203013,0.012066455
