Wavelength,FAM EM,FAM EX,ROX (carboxy-X-rhodamine) EM,ROX (carboxy-X-rhodamine) EX,Cy3 EM,Cy3 EX,Cy5.5 EM,Cy5.5 EX,JOE EM,JOE EX,Cy3.5 EM,Cy3.5 EX,CAL560 EM,CAL560 EX,CAL590 EM,CAL590 EX,CAL610 EM,CAL610 EX,Cy5 EM,Cy5 EX,HEX EM,HEX EX,TexasRed EM,TexasRed EX
381,,0.019758999,,0.0673,,,,,,0.0153,,,,0.0360885,,0.02,,0.038928598,,,,0.0118627,,
382,,0.019758999,,0.0634,,,,,,0.0155,,,,0.035482701,,0.02,,0.036669299,,,,0.0125466,,
383,,0.019758999,,0.0608,,,,,,0.0156,,,,0.035062,,0.02,,0.034437399,,,,0.0130071,,
384,,0.0201794,,0.0564,,,,,,0.016,,,,0.034846298,,0.02,,0.032368802,,,,0.0129374,,
385,,0.0204596,,0.0545,,,,,,0.0164,,,,0.034654099,,0.02,,0.0303641,,,,0.0137608,,
386,,0.0201794,,0.0521,,,,,,0.0165,,,,0.034508001,,0.02,,0.028395901,,,,0.0139003,,
387,,0.0198991,,0.05,,,,,,0.0165,,,,0.034432601,,0.02,,0.026617199,,,,0.0142074,,
388,,0.019758999,,0.0485,,,,,,0.0167,,,,0.034347702,,0.02,,0.025061199,,,,0.0144725,,
389,,0.0193386,,0.0471,,,,,,0.0167,,,,0.034280501,,0.02,,0.0233978,,,,0.0150168,,
390,,0.0193386,,0.0458,,,,,,0.0165,,,,0.034458499,,0.02,,0.0220815,,,,0.0155192,,
391,,0.0193386,,0.0447,,,,,,0.0169,,,,0.034554001,,0.02,,0.0209581,,,,0.015770501,,
392,,0.0190583,,0.0439,,,,,,0.0169,,,,0.034596398,,0.02,,0.020053999,,,,0.0160356,,
393,,0.018918199,,0.0432,,,,,,0.0169,,,,0.034542199,,0.02,,0.019149801,,,,0.0164124,,
394,,0.0184978,,0.0427,,,,,,0.0167,,,,0.034379501,,0.02,,0.0183015,,,,0.016635699,,
395,,0.018357599,,0.0424,,,,,,0.0171,,,,0.034225099,,0.02,,0.0177147,,,,0.0171382,,
396,,0.0182175,,0.0419,,,,,,0.0171,,,,0.0341391,,0.02,,0.0171862,,,,0.017319599,,
397,,0.0184978,,0.0418,,,,,,0.0167,,,,0.033956401,,0.02,,0.0168186,,,,0.017808,,
398,,0.018637899,,0.0412,,,,,,0.0169,,,,0.033794899,,0.02,,0.016744399,,,,0.0182686,,
399,,0.018637899,,0.0415,,,,,,0.0169,,,,0.033473201,,0.02,,0.016581099,,,,0.018575599,,
400,,0.0190583,,0.0415,,0.0019,,,,0.0169,,,,0.0330736,,0.02,,0.0164178,,,,0.018966399,0,0.022
401,,0.0190583,,0.0412,,0.002,,,,0.0169,,,,0.032667,,0.02,,0.0163939,,,,0.0191758,0,0.0064
402,,0.0193386,,0.0411,,0.0019,,,,0.0169,,,,0.032352298,,0.029999999,,0.0163288,,,,0.019566501,0,0.0057
403,,0.0196188,,0.0412,,0.0019,,,,0.0174,,,,0.0321366,,0.029999999,,0.0164041,,,,0.0201666,0,0.0064
404,,0.0201794,,0.0413,,0.0022,,,,0.0174,,,,0.031786501,,0.029999999,,0.016602799,,,,0.020278299,0,0.0051
405,,0.0207399,,0.0418,,0.0021,,,,0.0172,,,,0.0312526,,0.029999999,,0.0167078,,,,0.020501601,0,0.0063
406,,0.020880001,,0.0423,,0.0025,,,,0.0174,,,,0.030912001,,0.029999999,,0.0167649,,,,0.021031899,0,0.0043
407,,0.0213004,,0.0426,,0.0021,,,,0.0174,,,,0.0305843,,0.029999999,,0.016945301,,,,0.021157499,0,0.0055
408,,0.021861,,0.0427,,0.002,,,,0.0174,,,,0.030156501,,0.029999999,,0.0171827,,,,0.0216181,0,0.0049
409,,0.022281401,,0.0435,,0.0024,,,,0.0178,,,,0.029846501,,0.029999999,,0.0174396,,,,0.021883201,0,0.0036
410,,0.022841901,,0.0438,,0.0024,,,,0.0181,,,,0.029599,,0.029999999,,0.017604001,,,,0.0220368,0,0.0036
411,,0.0236827,,0.0443,,0.003,,,,0.0181,,,,0.0293267,,0.029999999,,0.018012701,,,,0.0221205,0,0.0018
412,,0.024243301,,0.0446,,0.0024,,,,0.0185,,,,0.028942499,,0.029999999,,0.018438499,,,,0.0223577,0,0.0018
413,,0.025364401,,0.0454,,0.0027,,,,0.0188,,,,0.028598299,,0.029999999,,0.0188176,,,,0.022427499,0,0.0035
414,,0.0264854,,0.0456,,0.0027,,,,0.019,,,,0.028342601,,0.029999999,,0.019259401,,,,0.022595,0,0.0018
415,,0.0274664,,0.0463,,0.0031,,,,0.0193,,,,0.0280903,,0.02,,0.0198188,,,,0.0227904,0,0.0012
416,,0.0290078,,0.0463,,0.0031,,,,0.0197,,,,0.027806301,,0.02,,0.0201727,,,,0.0227206,0,0.0006
417,,0.0304092,,0.0468,,0.0031,,,,0.02,,,,0.027518701,,0.02,,0.020496899,,,,0.0227904,0,0.0005
418,,0.031950701,,0.0471,,0.0033,,,,0.0204,,,,0.0272299,,0.02,,0.0209364,,,,0.0227485,0,0.0011
419,,0.0340527,,0.0473,,0.0035,,,,0.0209,,,,0.026985999,,0.02,,0.0213075,,,,0.0228462,0,0.0022
420,,0.0357343,,0.0472,,0.0037,,,,0.0211,,,,0.026812701,,0.02,,0.0217299,,,,0.022692701,0,0.0033
421,,0.037556101,,0.0472,,0.0037,,,,0.0211,,,,0.026597001,,0.02,,0.0220838,,,,0.022860199,0,0.0028
422,,0.040498901,,0.0477,,0.004,,,,0.0215,,,,0.0264792,,0.02,,0.0223669,,,,0.023027699,0,0.0028
423,,0.042741001,,0.0475,,0.0044,,,,0.0218,,,,0.0263707,,0.02,,0.0226181,,,,0.0230974,0,0.0028
424,,0.044983201,,0.047,,0.0045,,,,0.0222,,,,0.026098499,,0.02,,0.022672901,,,,0.023069501,0,0.0039
425,,0.048486501,,0.0471,,0.0051,,,,0.0227,,,,0.025852101,,0.02,,0.0227722,,,,0.0230137,0,0.0039
426,,0.051008999,,0.047,,0.005,,,,0.0229,,,,0.0255799,,0.02,,0.022928599,,,,0.0233486,0,0.0039
